ID,comment,Bears Ears?,Sentiment,URL
DOI-2017-0002-18919,"Dear Secretary Ryan Zinke,Please consider what you will be doing if you take away from our beautiful monuments. The beauty of the outdoors is unlike anything else. Being active is what makes me along with many others happy. Please do not takeAway something that we all love and care about so much.Sincerely,Sara Potter Scottsdale, AZ 85259",No,Positive,https://www.regulations.gov/document?D=DOI-2017-0002-18919
DOI-2017-0002-30082,"The National Monuments are for ALL Americans & are a treasure that must be protected.The people who live in the vicinity of these monuments are better served by the tourism $ that come to their communities than by turning them over to private industry.PLEASE Secretary, Ryan Zinke, hands' off our National Monuments.Let's NOT ""pave paradise & put up a parking lot"" (ie coal mining).",No,Positive,https://www.regulations.gov/document?D=DOI-2017-0002-30082
DOI-2017-0002-66481,"Dear Secretary Ryan Zinke,As a supporter of bird conservation and our public lands, I strongly urge you to protect all national monuments under review, and to reject any changes to these iconic landscapes. The national monuments created in the past twenty years have protected vital bird habitat, helped safeguard our heritage, and benefited communities across the country. Reversing any of these designations would be a tragic mistake with harmful consequences for all that depend on our magnificent public lands. From the buttes of Bears Ears that support birds like the Golden Eagle, to the underwater canyons of the Northeast Canyons and Seamounts National Monument that support a critical ecosystem for Atlantic Puffins, to the rocky peaks of the Organ Mountains-Desert Peaks National Monument, the shrub-steppe habitat of Hanford Reach National Monument in Washington, and out to the pristine Pacific waters of the Papahanaumokuakea National Monument, all of these lands and waters are indispensable to birds and other wildlife.These monuments are a legacy of Teddy Roosevelt. He and all fifteen subsequent presidents--of both parties--have recognized the need and value of protecting these public lands with the Antiquities Act. I urge you to uphold Roosevelt's legacy and maintain these monuments for current and future generations.Sincerely,Carol Stevens Lynnwood, WA 98037",Yes,Positive,https://www.regulations.gov/document?D=DOI-2017-0002-66481
DOI-2017-0002-64978,"Dear Secretary Zinke,I am writing to ask that you keep all of the National Monuments and lands that are under review, intact and protected as they are today. I have faith that a man like yourself, that comes from the beautiful state of Montana understands how important it is to protect our natural monuments. Large land masses that if left unprotected would run the risk of being destroyed over time by development, privatization, overuse, and misuse. It is essential in a large country such as ours, that we reserve essential acreage in it's natural state, and protect it, for the enjoyment and awe of many generations to come.I have visited four of the Monuments listed, each in a different state. Perhaps it is that I am a west coast resident and have been my entire life, that I feel the importance of preserving such places. Spending time in nature feeds everyones soul, it reenergizes them and connects them to this great land that our county is made up of. For those that have not been able to visit these monuments, or experienced this rejuvenation or connectedness to the land, we must protect these places in hopes that everyone will some day be able to visit and experience the humbling nature and awe that lands such as these inspire. Please keep these monuments protected in full.Thank you,- Melissa Purcell",No,Positive,https://www.regulations.gov/document?D=DOI-2017-0002-64978
DOI-2017-0002-49378,"Our national monuments represent and are an expression of our national values. They represent the what our ancestors and people in History believed in, and endured in times of hardship. What having a dream, of Americans coming together as one united people and hope to strive for and achieve someday. They symbolize what people fought to live for, and also for what they died for. How people sacrificed everything for what they believed in, to show the future there is hope and to never give up. To instill loyalty and meaning in our country, and to never forget the history of how our laws and how our freedom came to be. If Trump decides to shrink or repeal them he will be removing what this country means to us as citizens, present and future. He believes in nothing, other than money. Money is his God, and he is loyal to no one but money and himself. He has no values no matter how rich he is. We shouldn't have to let go of of what this country and it's monuments stand for because he has no soul. If he really cares about America he should do for the people, and not just for the rich or his own agenda because this country and what it stood for is dying. Since hes come into office it seems that the country is only being held together by mere threads. Even his bombing of Syria didn't feel like a victory, and it is pitiful he and some of the Republicans were celebrating like it was. He only brings shame to this country and to the Government. If the Republicans plan to keep him in office, no matter what he does wrong to this country, Congress should at least help preserve and protect our monuments, so we can hold on to our faith, that Trumps tyrant reign will come to an end someday.Onishea Aguilera",No,Positive,https://www.regulations.gov/document?D=DOI-2017-0002-49378
DOI-2017-0002-50372,"Dear Secretary Ryan Zinke, Please keep Bears Ears National Monument, as well as all the monuments, intact. These are the last few places where we can go and recreate and enjoy the true beauty of our lands. It would be an absolute shame if you were to weaken the protections of these monuments. You are supposed to protect these lands for the American people, not sell them out to big business and for them to be spoiled. It is an abomination that we are even having this discussion which is not a conservative or liberal issue. These lands are for all of us, do not hand them over for corporate greed and profit .",Yes,Positive,https://www.regulations.gov/document?D=DOI-2017-0002-50372
DOI-2017-0002-8802,I know 12 people who in the last month visited the Carrizo Plain NM. Had they not visited the NM the surrounding merchants would not have received their business. Opening the area and other NM to development will decrease that vistorship for short term gain to businesses that are there only so long as it is economically feasible while NM status is business gained in perpetuity.,No,Positive,https://www.regulations.gov/document?D=DOI-2017-0002-8802
DOI-2017-0002-46959,"Dear Secretary Ryan Zinke, Bears Ears National Monument is ecologically rich and culturally valuable. Rescinding or changing it only hurts one of our nations most incredible landscapes. Secretary, all I ask is you take a trip to Bears Ears National Monument. Stare at that place and I know you will not be able to destroy it like is currently planned. Save our land.",Yes,Positive,https://www.regulations.gov/document?D=DOI-2017-0002-46959
DOI-2017-0002-18184,"Dear Secretary Ryan Zinke,We must preserve our national monuments and grow the list! We are lucky to be near Mt St. Helens, John Day Fossil Beds, Newberry National Volcanic Monument, the San Juan Islands, and several others and visit some often. They are priceless and irreplaceable. Our kids, their kids, and their kids kids will be thankful for us making the right decision to do save the national monuments we have and grow the list.Sincerely,Fred Garmire Vancouver, WA 98683",No,Positive,https://www.regulations.gov/document?D=DOI-2017-0002-18184
DOI-2017-0002-1980,Please keep the monuments as designated. They are beautiful and should be maintained for future generations.,No,Positive,https://www.regulations.gov/document?D=DOI-2017-0002-1980
